Date : 2025-04-27 13:34:14
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\backend
Total : 6673 files,  1737671 codes, 212150 comments, 278537 blanks, all 2228358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\css\alt                                                                                                                 |         10 |     25,264 |         93 |      5,138 |     30,495 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\js                                                                                                                      |          6 |      2,172 |        428 |        395 |      2,995 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\js (Files)                                                                                                              |          3 |      1,734 |        235 |        352 |      2,321 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\js\pages                                                                                                                |          3 |        438 |        193 |         43 |        674 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins                                                                                                                 |         44 |     52,651 |     11,611 |     11,891 |     76,153 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\bootstrap                                                                                                       |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\bootstrap\js                                                                                                    |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\fontawesome-free                                                                                                |         17 |     17,314 |         72 |      3,637 |     21,023 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\fontawesome-free\css                                                                                            |         14 |      8,015 |         60 |      3,634 |     11,709 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\fontawesome-free\webfonts                                                                                       |          3 |      9,299 |         12 |          3 |      9,314 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\jquery                                                                                                          |          5 |     12,471 |      3,350 |      3,680 |     19,501 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\overlayScrollbars                                                                                               |          6 |      9,466 |      2,220 |      1,202 |     12,888 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\overlayScrollbars\css                                                                                           |          2 |        595 |         36 |          7 |        638 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\overlayScrollbars\js                                                                                            |          4 |      8,871 |      2,184 |      1,195 |     12,250 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\popper                                                                                                          |         12 |      5,465 |      4,257 |      1,348 |     11,070 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\popper (Files)                                                                                                  |          4 |      1,706 |      1,419 |        413 |      3,538 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\popper\esm                                                                                                      |          4 |      1,859 |      1,419 |        465 |      3,743 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\assets\plugins\popper\umd                                                                                                      |          4 |      1,900 |      1,419 |        470 |      3,789 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\components                                                                                                                     |         10 |      2,783 |          2 |        148 |      2,933 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\docs\javascript                                                                                                                     |          9 |        539 |          0 |        127 |        666 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages                                                                                                                               |         51 |     42,960 |      3,075 |      1,136 |     47,171 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages (Files)                                                                                                                       |          3 |      3,636 |        486 |        145 |      4,267 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\UI                                                                                                                            |          8 |      9,137 |        614 |        217 |      9,968 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\charts                                                                                                                        |          3 |      3,127 |        207 |        151 |      3,485 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\examples                                                                                                                      |         20 |     12,192 |        775 |        298 |     13,265 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\forms                                                                                                                         |          4 |      3,970 |        334 |        112 |      4,416 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\layout                                                                                                                        |          7 |      4,669 |        324 |        116 |      5,109 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\mailbox                                                                                                                       |          3 |      2,781 |        175 |         54 |      3,010 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\pages\tables                                                                                                                        |          3 |      3,448 |        160 |         43 |      3,651 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins                                                                                                                             |      1,662 |    414,735 |     69,524 |     62,780 |    547,039 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap                                                                                                                   |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-colorpicker                                                                                                       |          4 |      4,020 |      1,419 |      1,234 |      6,673 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-colorpicker\css                                                                                                   |          2 |        321 |         35 |         55 |        411 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-colorpicker\js                                                                                                    |          2 |      3,699 |      1,384 |      1,179 |      6,262 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-slider                                                                                                            |          4 |      1,888 |        296 |        253 |      2,437 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-slider (Files)                                                                                                    |          2 |      1,600 |        215 |        252 |      2,067 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-slider\css                                                                                                        |          2 |        288 |         81 |          1 |        370 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-switch                                                                                                            |          6 |      1,410 |         55 |         50 |      1,515 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-switch\css                                                                                                        |          4 |        674 |         39 |          6 |        719 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-switch\css\bootstrap2                                                                                             |          2 |        495 |         23 |          3 |        521 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-switch\css\bootstrap3                                                                                             |          2 |        179 |         16 |          3 |        198 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap-switch\js                                                                                                         |          2 |        736 |         16 |         44 |        796 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap4-duallistbox                                                                                                      |          4 |        851 |         54 |         85 |        990 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bootstrap\js                                                                                                                |          4 |      7,935 |      1,712 |      2,024 |     11,671 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\bs-custom-file-input                                                                                                        |          2 |        131 |         12 |         33 |        176 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\chart.js                                                                                                                    |          6 |     26,532 |      4,922 |      5,519 |     36,973 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables                                                                                                                  |          2 |      6,523 |      6,993 |      1,986 |     15,502 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-autofill                                                                                                         |          6 |        856 |        299 |        228 |      1,383 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-autofill\css                                                                                                     |          2 |         87 |          0 |          7 |         94 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-autofill\js                                                                                                      |          4 |        769 |        299 |        221 |      1,289 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-bs4                                                                                                              |          4 |        333 |         30 |         40 |        403 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-bs4\css                                                                                                          |          2 |        198 |          0 |         11 |        209 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-bs4\js                                                                                                           |          2 |        135 |         30 |         29 |        194 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-buttons                                                                                                          |         14 |      4,122 |        760 |        861 |      5,743 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-buttons\css                                                                                                      |          2 |        191 |          0 |          7 |        198 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-buttons\js                                                                                                       |         12 |      3,931 |        760 |        854 |      5,545 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-colreorder                                                                                                       |          6 |        864 |        482 |        235 |      1,581 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-colreorder\css                                                                                                   |          2 |         11 |          0 |          3 |         14 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-colreorder\js                                                                                                    |          4 |        853 |        482 |        232 |      1,567 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedcolumns                                                                                                     |          6 |      1,043 |        522 |        242 |      1,807 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedcolumns\css                                                                                                 |          2 |         60 |          0 |          7 |         67 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedcolumns\js                                                                                                  |          4 |        983 |        522 |        235 |      1,740 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedheader                                                                                                      |          6 |        506 |        183 |        124 |        813 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedheader\css                                                                                                  |          2 |         18 |          0 |          5 |         23 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-fixedheader\js                                                                                                   |          4 |        488 |        183 |        119 |        790 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-keytable                                                                                                         |          6 |        801 |        305 |        221 |      1,327 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-keytable\css                                                                                                     |          2 |          9 |          0 |          3 |         12 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-keytable\js                                                                                                      |          4 |        792 |        305 |        218 |      1,315 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-responsive                                                                                                       |          6 |      1,088 |        391 |        222 |      1,701 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-responsive\css                                                                                                   |          2 |        179 |          0 |          4 |        183 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-responsive\js                                                                                                    |          4 |        909 |        391 |        218 |      1,518 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowgroup                                                                                                         |          6 |        302 |        155 |         96 |        553 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowgroup\css                                                                                                     |          2 |         18 |          0 |          5 |         23 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowgroup\js                                                                                                      |          4 |        284 |        155 |         91 |        530 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowreorder                                                                                                       |          6 |        497 |        270 |        141 |        908 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowreorder\css                                                                                                   |          2 |         20 |          0 |          5 |         25 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-rowreorder\js                                                                                                    |          4 |        477 |        270 |        136 |        883 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-scroller                                                                                                         |          6 |        748 |        467 |        197 |      1,412 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-scroller\css                                                                                                     |          2 |         36 |          0 |          3 |         39 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-scroller\js                                                                                                      |          4 |        712 |        467 |        194 |      1,373 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-select                                                                                                           |          6 |        908 |        277 |        213 |      1,398 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-select\css                                                                                                       |          2 |        114 |          0 |          4 |        118 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\datatables-select\js                                                                                                        |          4 |        794 |        277 |        209 |      1,280 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker                                                                                                             |         17 |      3,236 |        131 |        808 |      4,175 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker (Files)                                                                                                     |          7 |      1,792 |        117 |        440 |      2,349 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker\example                                                                                                     |          7 |        574 |          4 |        171 |        749 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker\example\amd                                                                                                 |          3 |        303 |          4 |         83 |        390 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker\example\browserify                                                                                          |          4 |        271 |          0 |         88 |        359 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\daterangepicker\website                                                                                                     |          3 |        870 |         10 |        197 |      1,077 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\ekko-lightbox                                                                                                               |          3 |        527 |         49 |         97 |        673 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fastclick                                                                                                                   |          1 |        400 |        277 |        165 |        842 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr                                                                                                                   |         88 |        678 |        504 |         85 |      1,267 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr (Files)                                                                                                           |         20 |        250 |        303 |         17 |        570 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\FilterContainer                                                                                                   |          4 |         31 |          8 |          4 |         43 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\FilterItem                                                                                                        |          4 |         42 |         38 |          4 |         84 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\FilterItems                                                                                                       |          3 |         36 |          0 |          3 |         39 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\Filterizr                                                                                                         |          3 |         34 |         43 |          3 |         80 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\FilterizrOptions                                                                                                  |          3 |         27 |          0 |          3 |         30 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\Spinner                                                                                                           |          4 |         21 |          0 |          4 |         25 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\config                                                                                                            |          4 |         22 |          9 |          4 |         35 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\layouts                                                                                                           |          7 |         50 |         28 |          7 |         85 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\makeLayoutPositions                                                                                               |          9 |         48 |         26 |          9 |         83 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\types                                                                                                             |         14 |         90 |          0 |         14 |        104 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\types (Files)                                                                                                     |          1 |          3 |          0 |          1 |          4 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\types\interfaces                                                                                                  |         13 |         87 |          0 |         13 |        100 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\filterizr\utils                                                                                                             |         13 |         27 |         49 |         13 |         89 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flag-icon-css                                                                                                               |        516 |     36,625 |          0 |        515 |     37,140 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flag-icon-css\css                                                                                                           |          2 |      1,563 |          0 |          1 |      1,564 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flag-icon-css\flags                                                                                                         |        514 |     35,062 |          0 |        514 |     35,576 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flag-icon-css\flags\1x1                                                                                                     |        257 |     17,570 |          0 |        257 |     17,827 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flag-icon-css\flags\4x3                                                                                                     |        257 |     17,492 |          0 |        257 |     17,749 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flot                                                                                                                        |          1 |          1 |          1 |          1 |          3 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\flot-old                                                                                                                    |         34 |      5,825 |      1,490 |      1,408 |      8,723 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fontawesome-free                                                                                                            |         17 |     17,314 |         72 |      3,637 |     21,023 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fontawesome-free\css                                                                                                        |         14 |      8,015 |         60 |      3,634 |     11,709 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fontawesome-free\webfonts                                                                                                   |          3 |      9,299 |         12 |          3 |      9,314 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar                                                                                                                |         75 |     22,163 |      1,672 |        747 |     24,582 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar (Files)                                                                                                        |          8 |     20,370 |      1,671 |        479 |     22,520 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar-bootstrap                                                                                                      |          6 |        145 |         61 |         26 |        232 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar-daygrid                                                                                                        |          6 |      3,288 |        371 |         67 |      3,726 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar-interaction                                                                                                    |          4 |      4,111 |        450 |         64 |      4,625 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar-timegrid                                                                                                       |          6 |      2,798 |        447 |         88 |      3,333 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\fullcalendar\locales                                                                                                        |         67 |      1,793 |          1 |        268 |      2,062 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\icheck-bootstrap                                                                                                            |          2 |        322 |          9 |         65 |        396 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask                                                                                                                   |         27 |     13,302 |        188 |        193 |     13,683 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask (Files)                                                                                                           |          5 |      9,158 |         35 |        127 |      9,320 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\bindings                                                                                                          |          1 |         20 |          6 |          1 |         27 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\inputmask                                                                                                         |         10 |      4,113 |         70 |         54 |      4,237 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\inputmask (Files)                                                                                                 |          5 |      3,660 |         35 |         49 |      3,744 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\inputmask\bindings                                                                                                |          1 |         25 |          7 |          1 |         33 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\inputmask\dependencyLibs                                                                                          |          3 |        425 |         21 |          3 |        449 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\inputmask\global                                                                                                  |          1 |          3 |          7 |          1 |         11 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min                                                                                                               |         11 |         11 |         77 |         11 |         99 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min (Files)                                                                                                       |          1 |          1 |          7 |          1 |          9 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min\inputmask                                                                                                     |         10 |         10 |         70 |         10 |         90 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min\inputmask (Files)                                                                                             |          5 |          5 |         35 |          5 |         45 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min\inputmask\bindings                                                                                            |          1 |          1 |          7 |          1 |          9 |
| .venv\Lib\site-packages\adminlte3\static\admin-lte\plugins\inputmask\min\inputmask\dependencyLibs                                                                                      |          3 |          3 |         21 |          3 |         27 |
